pathway,F5_vs_OT1_immature_padj,F5_vs_OT1_immature_NES,F5_vs_TG6_immature_padj,F5_vs_TG6_immature_NES,OT1_vs_TG6_immature_padj,OT1_vs_TG6_immature_NES,F5_vs_OT1_semimature_padj,F5_vs_OT1_semimature_NES,F5_vs_TG6_semimature_padj,F5_vs_TG6_semimature_NES,F5_vs_CD8_polyclonal_semimature_padj,F5_vs_CD8_polyclonal_semimature_NES,OT1_vs_TG6_semimature_padj,OT1_vs_TG6_semimature_NES,OT1_vs_CD8_polyclonal_semimature_padj,OT1_vs_CD8_polyclonal_semimature_NES,TG6_vs_CD8_polyclonal_semimature_padj,TG6_vs_CD8_polyclonal_semimature_NES,F5_vs_OT1_mature_padj,F5_vs_OT1_mature_NES,F5_vs_TG6_mature_padj,F5_vs_TG6_mature_NES,F5_vs_CD8_polyclonal_mature_padj,F5_vs_CD8_polyclonal_mature_NES,OT1_vs_TG6_mature_padj,OT1_vs_TG6_mature_NES,OT1_vs_CD8_polyclonal_mature_padj,OT1_vs_CD8_polyclonal_mature_NES,TG6_vs_CD8_polyclonal_mature_padj,TG6_vs_CD8_polyclonal_mature_NES
PID_ARF6_TRAFFICKING_PATHWAY,0.03642247881297825,1.9919159361666217,0.20818208093901405,1.3824666141299755,0.14227250326755372,-1.4947911059744614,0.0663137920703086,1.6913047108288612,0.3943929674507009,1.248293511315355,0.4636768169020362,1.1853273529069115,0.16254589963280294,-1.4905540514870002,0.3906735925496327,-1.3526867398096198,0.9864090449662695,0.6857928910776515,0.2805502089103798,1.3156306483726736,0.23268649524727322,1.4447750901516736,0.7526068348748287,0.9521821237366946,0.6297271571399787,-1.0170514577956902,0.8159557357009586,-0.9121027705896161,0.8697471564152721,-0.8574024588226307
BIOCARTA_STEM_PATHWAY,0.032598156534973055,1.9544003390962097,0.27621237000547344,-1.511536052789565,0.02258503401360544,-1.9539315147991732,0.41251125226630153,1.400656038965453,0.9349607307606864,-0.6244356870316685,0.6551872226425898,-1.0465410249820155,0.4660999008345496,-1.3385435817883715,0.5466457049053497,-1.3251466531411153,0.9570144224763868,-0.671632104803629,0.6845801920226818,1.0412193951619446,0.921731939275799,-0.7094827558194485,0.872331621211025,-0.7530443220597166,0.4989014241641147,-1.1559748362092144,0.21713031088688017,-1.5663784143879107,0.953660288091919,-0.6891082977628816
PID_INTEGRIN_A9B1_PATHWAY,0.035132275132275126,1.8930429211639186,0.5115144107660063,1.1349838641588819,0.13614368900188634,-1.508754220727422,0.09758965314520869,1.7196046820817714,0.23695152982064172,1.4941376187009703,0.9113421329283963,0.7583681607901626,0.1395355818735834,-1.6087455524145067,0.3227181849311285,-1.4995688816515378,0.995593231563959,-0.580781144906946,0.32948241640795967,1.352041562419842,0.2597696153010215,1.5095414297481065,0.4019517033644273,1.288999430760732,0.7797537666398687,0.87180005381956,0.9992350442384809,0.6248982816455759,0.7505469847291937,0.9890252584016264
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.08036794964899541,1.725916326544591,0.8324105221370217,-0.8143793636516586,0.0719682893595937,-1.656817705524515,0.1324308490083891,1.6533147938735766,0.864251541433213,0.7674665160156583,0.7507475020659606,0.9499685359359367,0.32158208051659776,-1.4445643709997522,0.8128456293680195,-0.8943080274479284,0.8531201048471563,0.849489584577101,0.49770861995350824,1.234760570993656,0.7000381000099164,-1.0709876015327358,0.9686483195169444,0.6220733596138651,0.16943187798693324,-1.5153958213044931,0.8110208559646762,-0.9086465989564313,0.7612749569271309,0.9977322067748604
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.03783691378426121,1.7085681758524327,0.0419258089976322,-1.5385426112749414,0.029101746543071898,-1.6973035012084003,0.16102292768959436,1.48275066218371,0.1962646173172489,1.4629210590062611,0.07075873827791987,1.5986667479183259,0.8311925806592066,-0.9452206372934826,0.544825479890415,1.1923907396982745,0.16691804927099044,1.414547061222077,0.10370948848106208,1.4669416068783165,0.3804430863254393,1.2783139833780377,0.04679351656095842,1.709610558226051,0.31846522781774583,-1.2242835711239082,0.12344301914854063,1.5532524735295332,0.05976059760597606,1.62367340637333
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0.09470831550420766,1.7061675348127063,0.40648913376186097,1.2348839188049472,0.49030949556210834,-1.19648721191222,0.3878270326881634,1.3575109038508635,0.2834968839307234,1.4533379258854369,0.25848567877943973,-1.4356840007788596,0.7571124616663003,-1.0065834355608605,0.30867369997804783,-1.567770741070665,0.23200258815917177,-1.5044805518711795,0.7919853088237968,0.925278544359499,0.5233261837609002,1.277504554866434,0.630524861878453,1.0926884551388039,0.5253034685653538,1.1289246565715993,0.673541842772612,-1.0762956653334894,0.5086897517839163,-1.2617661140752918
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING,0.15485074626865672,1.6389124984335857,0.4552300257467872,-1.275276834217566,0.09730974562964514,-1.6608590495045117,0.261067101584343,1.530782152641989,0.6163366336633663,-1.0965165659655558,0.4461831197690045,-1.283712983955962,0.0727299280733141,-1.7665896955823848,0.31002322839700713,-1.5565721537127846,0.6106456904457446,-1.1673989248332812,0.894964859921055,0.7689250856007573,0.8682433375879465,-0.7942070919440256,0.4163611807833302,-1.3549272118614788,0.8325215797849255,-0.7916444079849466,0.4124589582039223,-1.3879458021664157,0.6146164957996157,-1.1835463766261938
KEGG_LINOLEIC_ACID_METABOLISM,0.1547785547785548,1.6331671174268423,0.7313149526675519,-0.9070306302291125,0.12890144733720155,-1.527990921381327,0.1324308490083891,1.679065740408971,0.8607115125584344,0.7861884393641152,0.9511346137083418,-0.6733405707176732,0.07438386855862583,-1.708436864019282,0.11020746887966805,-1.9080281564058226,0.817578231292517,-0.8769109040260734,0.029405252203179667,1.8470703120606082,0.2257794517681523,1.5989906627056065,0.4654377313476887,1.2573322975071455,0.05883590851193443,-1.7354642683373465,0.5367055602633466,-1.214124946666272,0.6057454591897243,1.1332429171092808
PID_ECADHERIN_KERATINOCYTE_PATHWAY,0.15485074626865672,1.628314020836758,0.41245577551516466,1.2366665623839037,0.5487154311896579,-1.1486372376800376,0.3878270326881634,1.3695325737001378,0.344384859278976,1.3606707143687562,0.8972890486390086,-0.7438904845888831,0.6415492262699406,-1.1152143223486342,0.45020764471565383,-1.3901400432435072,0.6081703493035806,-1.131306532564507,0.9181858197613094,-0.7595226281633112,0.7488784090625547,1.051953413447091,0.6454975906138697,-1.078125730699171,0.6777123804987581,0.9709288546347875,0.3793146851792682,-1.3519140475140263,0.560705949056342,-1.1965321224420797
BIOCARTA_CARDIACEGF_PATHWAY,0.09361672129991892,1.6272369609421946,0.34471619750807564,1.3189303838727477,0.3421929824561403,-1.342337229489972,0.8110236773201739,0.8927961064832415,0.6036220733410668,1.06688646013294,0.5954455847321131,-1.1059994135077482,0.9060321158166238,-0.7731867297692916,0.7626356749477984,-0.9848219000141856,0.8292383150700956,-0.8806777441750001,0.9604197378223723,-0.6934244117173679,0.8009209209209209,-0.9076800329716695,0.5844093802581571,-1.1441045332523025,0.9660616537021031,0.6262386546564683,0.31831255992329816,-1.4456038671704374,0.5839432624113475,-1.1736768270620004
