pathway,padj,NES
COLLAGEN,0.019460028050490883,2.58454485371847
EXTRACELLULAR_MATRIX_PART,0.03028852814125411,2.5718553910016495
PROTEINACEOUS_EXTRACELLULAR_MATRIX,0.03949096880131363,2.472098723061721
GATED_CHANNEL_ACTIVITY,0.05386137135605241,2.4638163311825716
SUBSTRATE_SPECIFIC_CHANNEL_ACTIVITY,0.06991279069767442,2.3712608655188383
EXTRACELLULAR_MATRIX,0.03970831040176114,2.3664039358212032
VOLTAGE_GATED_CHANNEL_ACTIVITY,0.036770889075758734,2.3577703083515464
VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY,0.03643663358836451,2.3323442647643398
G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY,0.06927009576842762,2.328969424104619
ION_CHANNEL_ACTIVITY,0.06822695035460993,2.327676065343828
POTASSIUM_ION_TRANSPORT,0.03038214548899884,2.2839889017034793
CATION_CHANNEL_ACTIVITY,0.050083298625572675,2.2440222825093845
RHODOPSIN_LIKE_RECEPTOR_ACTIVITY,0.057840307840307845,2.2343413987236884
VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,0.019029658837647866,2.2241762456632954
VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX,0.018215557070362796,2.22061046600809
CALCIUM_CHANNEL_ACTIVITY,0.024494992361228995,2.2155211364957457
BASEMENT_MEMBRANE,0.02460022503324355,2.189505088721133
NEUROTRANSMITTER_RECEPTOR_ACTIVITY,0.029266808640097352,2.1498876454976825
METAL_ION_TRANSPORT,0.04924242424242424,2.146364899142176
EXTRACELLULAR_REGION_PART,0.1971311475409836,2.118172555485975
GENERATION_OF_A_SIGNAL_INVOLVED_IN_CELL_CELL_SIGNALING,0.02247453509017849,2.094521733797395
TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY,0.037298387096774195,2.0817403988386967
NEUROTRANSMITTER_BINDING,0.03029730410682791,2.0355462592535543
VOLTAGE_GATED_POTASSIUM_CHANNEL_COMPLEX,0.02460022503324355,2.0265721878677203
HORMONE_ACTIVITY,0.02474661727632865,2.0141806178247865
POTASSIUM_CHANNEL_ACTIVITY,0.028071745389463856,1.9937790117454923
METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.06822695035460993,1.9909612745484684
VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,0.02460022503324355,1.9592959683072761
PEPTIDE_RECEPTOR_ACTIVITY,0.029505582137161084,1.9521312192711342
EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS,0.023171417101565638,1.9410430916349788
G_PROTEIN_SIGNALING_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER,0.04051549865229111,1.9120440966490393
DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY,0.04937553464499572,1.9080171593021211
GLUTAMATE_RECEPTOR_ACTIVITY,0.032389845345783486,1.8968099031299717
HORMONE_SECRETION,0.04255130927105449,1.894058187383062
